"split","disaster_type","event_name","has_area","has_label","file_count"
"hidden_test","Earthquake","Eastern_Iburi_Hokkaido_2018","True","False","1"
"hidden_test","Earthquake","Haiti_Earthquake_2010","True","False","1"
"hidden_test","Earthquake","Myanmar_Earthquake_2025","False","True","4"
"hidden_test","Earthquake","Turkish_earthquake_2023","True","False","1"
"hidden_test","Earthquake","Indonesia_Earthquake_2022","True","False","1"
"train","Explosions","Ghana Explosion_2022","True","False","1"
"train","Explosions","Beirut_Explosion_2022","True","False","1"
"dev","Explosions","Tianlong-3_Rocket_Explosion_Aftermath_2024","True","False","1"
"hidden_test","Explosions","Bata_Explosions_2021","True","False","1"
"train","Fires","Kincade_Fire_2019","True","True","2"
"train","Fires","Oregon_Washington_Fires_2020","True","False","1"
"train","Fires","Southern_California_wildfires_2017","True","False","1"
"train","Fires","Carr_Wildfire_2018","True","False","1"
"train","Fires","Pinery_Bushfires_2015","True","False","1"
"train","Fires","Dixie_Fire_2021","True","False","1"
"train","Fires","California_and_Colorado_Fires_2020","True","False","1"
"train","Fires","Turkish_Wildfires_2021","True","False","1"
"train","Fires","Marshall_Fire_Colorado_2022","True","True","12"
"train","Fires","California_Wildfires_2018","True","False","1"
"train","Fires","Santa_Rosa_Wildfires_2019","True","False","1"
"train","Fires","Southern_California_wildfires_2025","True","False","1"
"train","Fires","Bootleg_Fire_2021","True","True","3"
"dev","Fires","Maui_Fires_2023","True","False","1"
"dev","Fires","Australia_Wildfires_2019","True","True","7"
"dev","Fires","Portugal_Wildfires_2017","True","False","1"
"hidden_test","Fires","Los Angeles Wildfires_2025","True","True","23"
"hidden_test","Fires","Northwest_Territories_Fires_2023","True","False","1"
"hidden_test","Fires","Woolsey_Fire_2019","True","False","1"
"train","flooding","Safi_Morocco_Flooding_Imagery_2025","True","False","1"
"train","flooding","Vermont_2023","True","False","1"
"train","flooding","Midwest U.S. Flooding (2025)","True","False","1"
"train","flooding","Japan_Reiwa-Heavy-rain_2020","True","False","1"
"train","flooding","Japan_Reiwa-Heavy-rain_2010","True","False","1"
"train","flooding","Valencia Flooding_2024","True","False","1"
"train","flooding","Emilia_Romagna_Italy_Flooding_2023","True","False","1"
"train","flooding","the_South_Flood_2022","True","False","1"
"train","flooding","South_Africa_Flooding_2022","True","False","1"
"train","flooding","Flooding_in_India_2018","True","False","1"
"train","flooding","Japan_Reiwa-Heavy-rain_2019_10","True","False","1"
"train","flooding","Yellowstone_Flooding_2022","True","False","1"
"train","flooding","Maohara2019","True","False","1"
"train","flooding","The_Gambia_Flooding_2022","True","False","1"
"train","flooding","Papua_Indonesia_Flooding_2019","True","False","1"
"train","flooding","Japan_Reiwa-Heavy-rain_2013","True","False","1"
"train","flooding","Japan_Reiwa-Heavy-rain_2019_07","True","False","1"
"train","flooding","Japan_Reiwa-Nagiso_2014","True","False","1"
"train","flooding","Uttarakhand-Flooding_2021","True","False","1"
"train","flooding","Japan_Reiwa-Heavy-rain_2019","True","False","1"
"train","flooding","Japan_Reiwa-Heavy-rain_2017","True","False","1"
"train","flooding","Flooding_in_Campania_Italy","True","False","1"
"train","flooding","Western_Europe_2021","True","False","1"
"train","flooding","Sudan_Flooding_2022","True","False","1"
"train","flooding","Libya_Floods_2023","True","False","1"
"train","flooding","Brazil Flooding_2024","True","False","1"
"train","flooding","Japan_Reiwa-Heavy-rain_2023","True","False","1"
"train","flooding","Houston_2024","True","False","1"
"train","flooding","Japan_Reiwa-Heavy-rain_2024","True","False","1"
"train","flooding","Hokkaido_Tokoro_2016","True","False","1"
"train","flooding","Ecuador_Floodin_2022","True","False","1"
"train","flooding","SpaceNet8_flooding_Germany","True","False","1"
"train","flooding","Canterbury_Floods_2021","True","False","1"
"train","flooding","Cape Coral2022","True","False","1"
"train","flooding","Japan_Reiwa-Heavy-rain_2021_08","True","False","1"
"train","flooding","Japan_Reiwa-Heavy-rain_2015","True","False","1"
"train","flooding","Japan_Reiwa-Heavy-rain_2019_08","True","False","1"
"train","flooding","Kentucky_Flooding_2022","True","False","1"
"train","flooding","Flood_in_Sri_Lanka_2025","True","False","1"
"train","flooding","Louisiana Flooding (2016)","True","False","1"
"train","flooding","Japan_Reiwa-Heavy-rain_2019_06","True","False","1"
"train","flooding","Japan_Reiwa-Heavy-rain_2018","True","False","1"
"train","flooding","Nigeria-Floods-Sept-2024","True","False","1"
"train","flooding","dongtinghu_2024","True","False","1"
"train","flooding","Flood_in_Thailand_2025","True","False","1"
"dev","flooding","Japan_Reiwa-Heavy-rain_2021_07","True","False","1"
"dev","flooding","Nepal-Floods-Sept-2024","True","False","1"
"dev","flooding","Pakistan_Flooding_2022","True","False","1"
"dev","flooding","Japan_Kitagawa Village_2014","True","False","1"
"dev","flooding","Myanmar_Floods_2017","True","False","1"
"dev","flooding","Louisiana_2024","True","False","1"
"dev","flooding","Seawater_intrusion_in_the_Bohai_Sea_Region_2024","True","False","1"
"dev","flooding","SpaceNet8_flooding_001","True","False","1"
"dev","flooding","North_India_Floods_2023","True","False","1"
"dev","flooding","Brazil_Flooding_2022","True","False","1"
"hidden_test","flooding","New_Zealand_Flooding_2023","True","False","1"
"hidden_test","flooding","jiujiang_2024","True","False","1"
"hidden_test","flooding","Kalehe_DRC_Flooding_2023","True","False","1"
"hidden_test","flooding","Arkansas River Flooding_2019","True","False","1"
"hidden_test","flooding","wairoa-flood-2024","True","False","1"
"hidden_test","flooding","Ndjamena_Chad_Flooding_2024","True","False","1"
"hidden_test","flooding","lds-westport-flood-2021","True","False","1"
"hidden_test","flooding","mexico_2023","True","False","1"
"hidden_test","flooding","Kenya Flooding_2024","True","False","1"
"hidden_test","flooding","Midwest U.S. Flooding (2015)","True","False","1"
"train","Hurricane","Hurricane_Sandy_(2012)","True","False","1"
"train","Hurricane","Hurricane_Henri_(2021)","True","False","1"
"train","Hurricane","Hurricane_Delta_(2020)","True","False","1"
"train","Hurricane","Hurricane_Delta_2020","True","False","1"
"train","Hurricane","Hurricane_Matthew_2016","True","True","8"
"train","Hurricane","Hurricane_Idalia_(2023)","True","True","6"
"train","Hurricane","Hurricane_Arthur_(2014)","True","False","1"
"train","Hurricane","Hurricane_Dorian_2019","True","False","1"
"train","Hurricane","Hurricane_Nate_(2017)","True","False","1"
"train","Hurricane","Hurricane_Melissa_(2025)","True","False","1"
"train","Hurricane","Hurricane_Irma_(2017)","True","False","1"
"train","Hurricane","Hurricane_Sally_(2020)","True","False","1"
"train","Hurricane","Hurricane_Laura_2016","True","False","1"
"train","Hurricane","Hurricane_Dorian_(2019)","True","False","1"
"train","Hurricane","Hurricane_Florence_2018","True","True","4"
"train","Hurricane","Hurricane_Maria_(2017)","True","False","1"
"train","Hurricane","Hurricane_Matthew_(2016)","True","False","1"
"train","Hurricane","Hurricane_Francine_(2024)","True","False","1"
"train","Hurricane","Hurricane_Isaias_(2020)","True","False","1"
"train","Hurricane","Hurricane_Earl_(2010)","True","False","1"
"train","Hurricane","Hurricane_Lee_(2023)","True","False","1"
"train","Hurricane","Hurricane_Harvey_(2017)","True","False","1"
"train","Hurricane","Hurricane_Zeta_(2020)","True","False","1"
"train","Hurricane","Hurricanes_Eta_and_Iota_2020","True","False","1"
"train","Hurricane","Hurricane_Sally_2020","True","False","2"
"train","Hurricane","Hurricane_Ian_(2022)","True","True","32"
"train","Hurricane","Hurricane_Barry_(2019)","True","False","1"
"train","Hurricane","Hurricane_Irma_2017","True","False","1"
"train","Hurricane","Hurricane_Milton_(2024)","True","True","22"
"train","Hurricane","Hurricane_Helene_2024","True","False","1"
"train","Hurricane","Hurricane_Debby_(2024)","True","False","1"
"train","Hurricane","Hurricane_Harvey_2017","True","True","10"
"train","Hurricane","Hurricane_Ida_(2021)","True","False","1"
"train","Hurricane","Hurricane_Irene_(2011)","True","False","1"
"train","Hurricane","Hurricane_Nicole_(2022)","True","True","12"
"dev","Hurricane","Haiti_hurricane","True","False","1"
"dev","Hurricane","Hurricane_Willa_2018","True","False","1"
"dev","Hurricane","Hurricane_Ida_2021","True","False","1"
"dev","Hurricane","Hurricane_Ian_2022","True","False","2"
"dev","Hurricane","Hurricane_Fiona_2022","True","False","1"
"dev","Hurricane","Hurricane_Florence_(2018)","True","False","1"
"dev","Hurricane","Hurricane_Erin_(2025)","True","False","1"
"hidden_test","Hurricane","Hurricane_Michael_(2018)","True","False","1"
"hidden_test","Hurricane","Hurricane_Michael_2018","True","True","9"
"hidden_test","Hurricane","Hurricane_Laura_(2020)","True","False","1"
"hidden_test","Hurricane","Hurricane_Isaac_(2012)","True","False","1"
"hidden_test","Hurricane","Hurricane_Laura_2020","True","False","1"
"hidden_test","Hurricane","Hurricane_Helene_(2024)","True","True","20"
"hidden_test","Hurricane","Hurricane_Idalia_2023","True","False","1"
"train","Landslide","Shovi_Landslide_2023","True","False","1"
"train","Landslide","Volcan_de_Fuego_Eruption_in_Guatemala_2018","True","False","1"
"train","Landslide","Sierra_Leone_Mudslide_2017","True","False","1"
"train","Landslide","Papua_New_Guinea_Landslide_2024","True","False","1"
"train","Landslide","Kalehe_DRC_Flooding_2023","True","False","1"
"train","Landslide","Turkish_earthquake_2023","True","False","1"
"train","Landslide","Japan_Reiwa-Heavy-rain_2021_07","True","False","1"
"dev","Landslide","Nakatsu_City_Landslide_2018","True","False","1"
"dev","Landslide","Cyclone_Shaheen_2021","True","False","1"
"hidden_test","Landslide","California_Wildfires_2018","True","False","1"
"hidden_test","Landslide","bijie_2018","True","False","1"
"train","nodisaster1","bj2_1","True","False","1"
"train","nodisaster1","newyork","True","False","1"
"train","nodisaster1","Maxar_Vivid_Standard_Sydney","True","False","1"
"train","nodisaster1","Auckland_0.075m_Urban_Aeria_Photos_(2024)","True","False","1"
"train","nodisaster1","eda2","True","False","1"
"train","nodisaster1","Otago 0.2m Rural Aerial Photos (2023-2024)","True","False","1"
"train","nodisaster1","Maxar_Vivid_Standard_Lima","True","False","1"
"train","nodisaster1","japan0_Kuji","True","False","1"
"train","nodisaster1","Maxar_Vivid_Standard_SanDiego","True","False","1"
"train","nodisaster1","UH_NAD83_fire_Houston","True","False","1"
"train","nodisaster1","Waikato_0.3m_Rural_Aerial_Photos_(2021-2024)","True","False","1"
"train","nodisaster1","Barcelona_2022-04-01_WV03_HD","True","False","1"
"train","nodisaster1","linhai_flooding","True","False","1"
"train","nodisaster1","guiyang","True","False","1"
"train","nodisaster1","yejian_Kathmandu","True","False","1"
"train","nodisaster1","Maxar_Vivid_Standard_Tokyo","True","False","1"
"train","nodisaster1","hefei","True","False","1"
"dev","nodisaster1","daguankaifaqu_Anqing","True","False","1"
"dev","nodisaster1","andorra","True","False","1"
"dev","nodisaster1","Maxar_Vivid_Standard_Cairo","True","False","1"
"hidden_test","nodisaster1","foshan","True","False","1"
"hidden_test","nodisaster1","Maxar_Vivid_Standard_Madrid","True","False","1"
"hidden_test","nodisaster1","changjing_train","False","True","4"
"train","Oil","Mauritius_Oil_Spill_2020","True","False","1"
"train","others","0001","True","False","1"
"train","sar","sar_data","True","False","10184"
"train","Storm","Tropical_Storm_Gordon_(2018)","True","False","1"
"train","Storm","Tropical Storm Fred_2021","True","False","1"
"train","Storm","Tropical Storm Megi_2022","True","False","1"
"dev","Storm","Tropical Storm Henri_2021","True","False","1"
"hidden_test","Storm","Tropical_Storm_Ana_2022","True","False","1"
"train","Tornado","Nashville_Tornadoes_(2020)","True","False","1"
"train","Tornado","Louisiana_Tornadoes_2022","True","False","1"
"train","Tornado","Texas_Tornadoes_2022","True","False","1"
"train","Tornado","Joplin_MO_Tornado_(2011)","True","False","1"
"train","Tornado","Tuscaloosa_Tornado_2006","True","True","5"
"train","Tornado","Tuscaloosa_AL_Tornado_(2011)","True","False","1"
"train","Tornado","Illinois_Tornadoes_(2015)","True","False","1"
"dev","Tornado","Joplin_Tornado_2011","True","False","1"
"hidden_test","Tornado","Moore_Tornado_2013","True","False","1"
"train","Tsunami","Sunda_Strait_Tsunami_2019","True","False","1"
"train","Typhoon","Super_Typhoon_Yutu_2018","True","False","1"
"train","Typhoon","Typhoon_Vamco_2020","True","False","1"
"train","Typhoon","Typhoon_Goni_2020","True","False","1"
"train","Typhoon","Super_Typhoon_Mangkhut_2018","True","False","1"
"dev","Typhoon","Typhoon_Ragasa_in_Taiwan_2025","True","False","1"
"hidden_test","Typhoon","Typhoon_Vongfong_2020","True","False","1"
"train","Volcan","St_Vincent_Volcano_2021","True","False","1"
"train","Volcan","Izu_Oshima_2012","True","False","1"
"train","Volcan","Mount_Semeru_Eruption_2021","True","False","1"
"train","Volcan","Nyiragongo_Eruption_2021","True","False","1"
"train","Volcan","Volcan_de_Fuego_Eruption_in_Guatemala_2018","True","True","3"
"train","Volcan","Kuchinoerabu_Island_2015","True","False","1"
"train","Volcan","Lower Puna Volcano_2018","True","True","2"
"dev","Volcan","la_palma-volcano_2021","True","False","1"
"dev","Volcan","Volcano_in_Ethiopia_2025","True","False","1"
"hidden_test","Volcan","Tonga_Volcano_2022","True","False","1"
"hidden_test","Volcan","Nishinoshima_2013","True","False","1"
"train","war","Ukraine","True","False","1"
"train","war","Israeli","True","False","1"
"train","xview","guatemala-volcano_2018-06-03","True","False","1"
"train","xview","midwest-flooding","True","False","1"
"train","xview","moore-tornado","True","False","1"
"train","xview","hurricane-matthew","True","False","1"
"train","xview","pinery-bushfire","True","False","1"
"train","xview","nepal-flooding","True","False","1"
"train","xview","tuscaloosa-tornado","True","False","1"
"train","xview","palu-tsunami","True","False","1"
"train","xview","hurricane-florence","True","False","1"
"train","xview","santa-rosa","True","False","1"
"train","xview","hurricane-harvey","True","False","2"
"train","xview","woolsey-fire","True","False","1"
"dev","xview","lower-puna-volcano_2018-05-23","True","False","1"
"dev","xview","portugal-wildfire","True","False","1"
"dev","xview","mexico-earthquake","True","False","1"
"hidden_test","xview","socal-fire","True","False","1"
"hidden_test","xview","joplin-tornado","True","False","1"
"hidden_test","xview","sunda-tsunami","True","False","1"
